generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_defensive_wall,archetype_speed_sweeper,archetype_balanced_all-rounder,archetype_defensive_pivot,archetype_fast_attacker,archetype_generalist
126,0.7136001364591994,0.7236733020676571,0.031029414753919564,2.553851389610045,100.0,151,152,149,147,151,150
127,0.7117890774814267,0.7236733020676571,0.03319488501992112,2.5494069451656007,100.0,153,150,149,149,154,145
128,0.7170059862855478,0.7236733020676571,0.024997070782517394,2.564962500721156,100.0,152,151,151,151,147,148
129,0.7075585674852721,0.7236733020676571,0.03585387874906501,2.538295834054489,100.0,147,153,151,151,149,149
130,0.7098658278560127,0.7236733020676571,0.03167324455243918,2.538295834054489,100.0,149,153,150,151,147,150
131,0.7076660482745749,0.7236733020676571,0.036892437052604934,2.533851389610045,100.0,157,149,148,149,150,147
132,0.7056675934768769,0.7236733020676571,0.03986047792798332,2.5294069451656007,100.0,157,148,146,155,150,144
133,0.7063576097664457,0.7236733020676571,0.03871325826125142,2.5294069451656007,100.0,151,146,145,154,148,156
134,0.7108937717422436,0.7236733020676571,0.0343893761331673,2.547184722943378,100.0,156,149,145,149,151,150
135,0.7120701955033355,0.7236733020676571,0.031189426751711245,2.5494069451656007,100.0,152,153,151,151,148,145
136,0.7085628646581527,0.7236733020676571,0.034982362455224444,2.533851389610045,100.0,149,152,149,150,150,150
137,0.7082149305171922,0.7236733020676571,0.03674447425436266,2.5360736118322675,100.0,147,152,146,151,153,151
138,0.7105937786869998,0.7236733020676571,0.030697156068680963,2.5382958340544897,100.0,148,155,143,155,148,151
139,0.714497455585883,0.7236733020676571,0.027040072274083993,2.553851389610045,100.0,153,153,146,150,149,149
140,0.7114093982824924,0.7236733020676571,0.03354135682671695,2.547184722943378,100.0,147,151,151,151,149,151
141,0.7119828749868573,0.7236733020676571,0.031125124468859216,2.544962500721156,100.0,153,152,150,149,149,147
142,0.7102387951808987,0.7236733020676571,0.032615079847117416,2.538295834054489,100.0,149,154,148,154,146,149
143,0.7090819625344403,0.7236733020676571,0.03628723192211572,2.542740278498933,100.0,147,146,154,152,151,150
144,0.711342107769982,0.7236733020676571,0.03055208461717484,2.547184722943378,100.0,148,153,146,152,150,151
145,0.7118103172871589,0.7236733020676571,0.03266672944345867,2.547184722943378,100.0,152,154,145,150,151,148
