generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_speed_sweeper,archetype_defensive_wall,archetype_generalist,archetype_fast_attacker,archetype_defensive_pivot,archetype_balanced_all-rounder
226,0.7163729172045283,0.7239386633195667,0.021333204998556596,1.7830911114957269,100.0,153,1.0,446,3.0,146,151
227,0.7150884104168406,0.7239386633195667,0.021758915080551455,1.7808688892735047,99.33333333333333,151,2.0,448,1.0,148,150
228,0.7165074759432,0.7239386633195667,0.021668920108688674,1.7803241948338677,96.66666666666667,146,,448,3.0,149,154
229,0.7162003885160785,0.7239386633195667,0.020846116079201723,1.7758797503894235,98.0,146,2.0,450,3.0,150,149
230,0.7136469875305737,0.7239386633195667,0.024377456766752834,1.7842239448386754,99.33333333333333,150,,446,5.0,144,155
231,0.7160139511853282,0.7239386633195667,0.022184696812651238,1.7639298753870196,99.33333333333333,150,,453,1.0,152,144
232,0.7146408263841688,0.7239386633195667,0.0234857155411228,1.7820017226164533,98.0,149,3.0,446,1.0,149,152
233,0.7145691667784243,0.7239386633195667,0.024607975340586376,1.8072849309521908,98.66666666666667,148,3.0,439,4.0,152,154
234,0.7145839976761621,0.7239386633195667,0.02299066876682586,1.7772632087203528,97.33333333333333,147,2.0,445,3.0,146,157
235,0.7153321077977948,0.7239386633195667,0.021659364074157868,1.7731128337275643,98.0,147,3.0,452,3.0,145,150
236,0.7174273288602175,0.7239386633195667,0.020810272448394278,1.8061520976092418,98.66666666666667,148,3.0,443,6.0,150,150
237,0.7195069645876558,0.7239386633195667,0.016140983640031456,1.7872414864885149,98.66666666666667,148,,449,2.0,150,151
238,0.7170888966406685,0.7239386633195667,0.020296905762882872,1.7783525975996266,98.66666666666667,148,,449,3.0,145,155
239,0.7172655586147528,0.7239386633195667,0.018952773957165683,1.7694637087107374,98.66666666666667,150,,453,3.0,145,149
240,0.715342135886792,0.7239386633195667,0.021307150220108203,1.767829625391827,96.66666666666667,145,1.0,451,3.0,149,151
241,0.7149835852675133,0.7239386633195667,0.02134013280920223,1.7833851809473826,96.66666666666667,145,3.0,449,4.0,151,148
242,0.7168390990023674,0.7239386633195667,0.018656069131498778,1.7844745698266562,97.33333333333333,147,,445,3.0,150,155
243,0.7175084292436524,0.7239386633195667,0.019190607571021295,1.7808688892735047,98.66666666666667,151,1.0,448,2.0,144,154
244,0.7162392187637443,0.7239386633195667,0.020646746853753048,1.789213083722757,99.33333333333333,149,2.0,446,2.0,148,153
245,0.7145307066639142,0.7239386633195667,0.02425886822949305,1.7953350559497865,98.0,149,,440,5.0,148,158
246,0.7159284370313094,0.7239386633195667,0.022163273791702846,1.7964244448290603,98.66666666666667,148,2.0,442,3.0,149,156
247,0.7156959300350838,0.7239386633195667,0.022590583488480885,1.7647686392783124,96.0,144,,454,,152,150
248,0.7152936696156612,0.7239386633195667,0.02207489743419342,1.7830911114957264,99.33333333333333,151,2.0,448,3.0,146,150
249,0.7179800774927614,0.7239386633195667,0.018453960306447203,1.7791913614909194,98.66666666666667,151,1.0,450,2.0,146,150
250,0.7160447725625089,0.7239386633195667,0.02125866344464839,1.7811629587251605,100.0,150,4.0,449,2.0,147,148
