generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_speed_sweeper,archetype_defensive_wall,archetype_generalist,archetype_fast_attacker,archetype_defensive_pivot,archetype_balanced_all-rounder
66,0.695103334767768,0.704147968137746,0.021187050083073852,1.7661520976092417,96.66666666666667,149,,453,147.0,147,4
67,0.6940228796340553,0.704147968137746,0.023542378114889986,1.7844745698266562,96.0,143,2.0,449,153.0,144,9
68,0.6955057812831694,0.704147968137746,0.021584079034465287,1.7931128337275641,98.0,146,3.0,446,151.0,147,7
69,0.6962882994701349,0.704147968137746,0.021301887738648256,1.7839298753870196,98.0,147,2.0,449,149.0,149,4
70,0.6979954464513469,0.704147968137746,0.017888218086107816,1.7666967920488788,99.33333333333333,149,,455,147.0,147,2
71,0.6971684931923999,0.704147968137746,0.018196395185857046,1.787535555940171,99.33333333333333,149,,448,151.0,147,5
72,0.6963682115848019,0.704147968137746,0.01924634753675074,1.7983960420633018,98.0,146,2.0,445,150.0,148,9
73,0.6954737215414918,0.704147968137746,0.021395403481912687,1.781413583713141,96.66666666666667,144,3.0,450,148.0,147,8
74,0.6984735441510442,0.704147968137746,0.0175440566615925,1.793908153155182,100.0,149,2.0,447,151.0,147,4
75,0.6945473843425731,0.704147968137746,0.021858911705666333,1.7675790004038465,98.0,151,1.0,450,148.0,146,4
76,0.6970019645115294,0.704147968137746,0.018454849886698987,1.771435305944979,97.33333333333333,148,1.0,454,149.0,145,3
77,0.6963702513320295,0.704147968137746,0.01835177936478942,1.7903459170657052,98.0,147,4.0,444,153.0,147,5
78,0.6984443045601793,0.704147968137746,0.016685216702090187,1.7755856809377675,99.33333333333333,149,1.0,453,148.0,148,1
79,0.6967015866022818,0.704147968137746,0.018889608077438266,1.7689190142711009,98.0,148,1.0,455,145.0,147,4
80,0.6984620378934598,0.704147968137746,0.01722187422489267,1.7769691392686968,99.33333333333333,149,,452,150.0,148,1
81,0.6929425955158562,0.704147968137746,0.023405264034471532,1.7978513476236648,97.33333333333333,147,3.0,441,150.0,149,10
82,0.7003418959981068,0.704147968137746,0.01288335156372562,1.7891696392590817,99.33333333333333,149,,450,148.0,146,7
83,0.6959383678656371,0.704147968137746,0.01932341007546202,1.7970125837323723,98.66666666666667,152,1.0,440,150.0,150,7
