generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_speed_sweeper,archetype_physical_attacker,archetype_balanced_all-rounder,archetype_defensive_tank,archetype_generalist,archetype_fast_attacker
70,0.7144764384714961,0.732799867596916,0.03891601612728204,2.5249625007211556,98.66666666666667,158,151,149,146,149,147
71,0.7183898742576347,0.732799867596916,0.034519186138354765,2.542740278498934,98.66666666666667,154,149,148,154,148,147
72,0.7192626821088915,0.732799867596916,0.0358142118890023,2.5449625007211556,96.66666666666667,149,151,152,148,152,148
73,0.7155067891146342,0.732799867596916,0.03858289334807555,2.538295834054489,98.66666666666667,153,152,150,154,146,145
74,0.7152345915663857,0.732799867596916,0.04119946818395242,2.533851389610045,98.66666666666667,157,143,151,149,149,151
75,0.7225731711420719,0.732799867596916,0.029174731016266824,2.5494069451656003,99.33333333333333,152,151,149,148,151,149
76,0.7142608607572428,0.732799867596916,0.042474384311986496,2.5316291673878224,97.33333333333333,151,148,151,153,146,151
77,0.7196827031493035,0.732799867596916,0.03419352686058224,2.5449625007211556,98.66666666666667,155,152,150,147,149,147
78,0.7190877397578178,0.732799867596916,0.03747324640230164,2.544962500721156,98.0,151,156,149,149,143,152
79,0.7204039561252803,0.732799867596916,0.03376643972387063,2.5449625007211556,99.33333333333333,157,154,147,148,148,146
80,0.7166796450944014,0.732799867596916,0.035438270272373174,2.531629167387823,97.33333333333333,154,151,146,149,151,149
81,0.7197019821531455,0.732799867596916,0.0335731147286137,2.542740278498934,99.33333333333333,156,144,147,151,152,150
82,0.7203679857031261,0.732799867596916,0.03273071105725593,2.544962500721156,98.0,148,153,149,151,150,149
83,0.7239350752627303,0.732799867596916,0.027336507532535914,2.553851389610045,99.33333333333333,153,150,152,145,152,148
84,0.7203028582554137,0.732799867596916,0.03141017725294876,2.542740278498934,99.33333333333333,157,149,148,150,150,146
85,0.7200349682005445,0.732799867596916,0.033216702743054,2.5449625007211556,97.33333333333333,147,152,153,151,151,146
86,0.7227665385766223,0.732799867596916,0.03213695998683468,2.553851389610045,97.33333333333333,149,149,153,151,148,150
87,0.7248669678311948,0.7394672727271693,0.02547174692865178,2.5582958340544892,100.0,153,148,152,147,153,147
88,0.7213995063859843,0.7394672727271693,0.03124001032515571,2.5449625007211556,98.66666666666667,155,149,145,150,149,152
89,0.7141691861786823,0.7394672727271693,0.04033131507960799,2.5205180562767113,98.0,156,150,150,152,143,149
90,0.7211943974491047,0.7394672727271693,0.03479167482476075,2.5405180562767113,98.66666666666667,156,149,147,150,146,152
91,0.7258574725341399,0.7394672727271693,0.03232965134724061,2.553851389610045,98.0,151,151,150,151,149,148
92,0.7260313117587351,0.7394672727271693,0.033591172112592105,2.5360736118322675,97.33333333333333,151,151,150,150,148,150
93,0.7271091285503849,0.7394672727271693,0.03271976811158923,2.5449625007211556,98.0,154,150,153,148,147,148
94,0.7294739902861248,0.7394672727271693,0.029284423943207658,2.551629167387823,98.66666666666667,152,152,150,151,148,147
95,0.7255741009918589,0.7394672727271693,0.032338182728996516,2.5427402784989335,96.66666666666667,148,153,151,152,145,151
96,0.7293551870371099,0.7394672727271693,0.026960910088956756,2.5427402784989335,98.66666666666667,154,154,146,150,144,152
97,0.7248429886695655,0.7394672727271693,0.034959650386467984,2.5360736118322675,98.66666666666667,154,147,147,151,152,149
98,0.7267067146719125,0.7394672727271693,0.03369860457858043,2.5427402784989335,98.66666666666667,151,147,154,150,151,147
99,0.7277273019445251,0.7394672727271693,0.031641628426063974,2.5449625007211556,98.0,153,145,150,151,151,150
100,0.7229826475571479,0.7394672727271693,0.036573466655133065,2.527184722943378,97.33333333333333,154,149,149,146,151,151
