generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_defensive_wall,archetype_speed_sweeper,archetype_fast_attacker,archetype_defensive_pivot,archetype_balanced_all-rounder,archetype_generalist
39,0.5887730502840121,0.5962432720658484,0.022227137666163358,1.90957068122623,99.33333333333333,7,274,151,317,149,2.0
40,0.5887355141097378,0.5962432720658484,0.022460339389620918,1.9213133757043288,100.0,7,297,151,296,146,3.0
41,0.5868011445981932,0.5962432720658484,0.02669691779333927,1.9057578201487733,100.0,3,301,154,296,146,
42,0.5886799636578204,0.5962432720658484,0.0227281629629773,1.9343960840496812,100.0,9,295,151,294,148,3.0
43,0.5887522558680263,0.5962432720658484,0.02072237213006022,1.9129691812550762,100.0,4,298,151,297,150,
44,0.5892377984651586,0.5962432720658484,0.022300077207992187,1.8996358479217432,100.0,4,301,147,300,148,
45,0.5878086129847422,0.5962432720658484,0.024060400191746555,1.9210627507163478,100.0,10,297,150,297,146,
46,0.5869767461122882,0.5962432720658484,0.023863641359426507,1.908524736810632,100.0,4,298,152,298,148,
47,0.5886552632518137,0.5962432720658484,0.02031321498250792,1.9102022645932175,100.0,4,298,153,296,149,
48,0.5885341297749359,0.5962432720658484,0.021586891894600533,1.9168689312598841,100.0,6,301,149,295,148,1.0
49,0.5870534515975244,0.5962432720658484,0.024396396650939282,1.9132632507067326,100.0,7,297,148,299,148,1.0
50,0.5878274376108785,0.5962432720658484,0.02486620673488282,1.9168689312598841,100.0,8,295,151,299,147,
51,0.5859975260087388,0.5962432720658484,0.025334660881743423,1.9102022645932175,100.0,9,298,141,299,151,2.0
52,0.5881149023410721,0.5962432720658484,0.02204177539644478,1.9149407784893182,100.0,6,297,152,297,148,
53,0.5856354834821089,0.5962432720658484,0.02931505597154199,1.9076859729193394,100.0,8,301,147,296,148,
54,0.5877700229327815,0.5962432720658484,0.024059173040020632,1.9118797923758029,100.0,7,296,152,300,145,
55,0.5866150406397855,0.5962432720658484,0.02743612156892742,1.908524736810632,100.0,4,297,149,299,149,2.0
56,0.586720953016972,0.5962432720658484,0.026891121313240396,1.9093635007019247,100.0,5,301,150,296,148,
57,0.588863506259046,0.5962432720658484,0.020492546105568308,1.9282741118226514,100.0,8,293,149,298,151,1.0
58,0.5879486718124007,0.5962432720658484,0.023592981460833013,1.9115857229241473,100.0,6,302,150,294,148,
59,0.5866061362463167,0.5962432720658484,0.027049232259956906,1.9076859729193394,100.0,4,302,149,297,146,2.0
60,0.5882110886608874,0.5962432720658484,0.02276911018484018,1.9110410284845103,100.0,6,297,149,301,147,
61,0.5909941833265816,0.5962432720658484,0.017131201654862295,1.9149407784893182,100.0,2,301,150,295,151,1.0
62,0.5890791994085606,0.5962432720658484,0.02097377014750082,1.9216074451559848,100.0,6,298,152,293,150,1.0
63,0.5906699894034456,0.5962432720658484,0.02097429083716174,1.9118797923758029,100.0,2,300,151,299,145,3.0
64,0.5893637526456262,0.5962432720658484,0.021497186384998,1.9107469590328545,100.0,2,299,149,298,150,2.0
65,0.5867888174474757,0.5962432720658484,0.024686463615666118,1.9076859729193394,100.0,4,298,149,299,148,2.0
66,0.5856425638645997,0.5962432720658484,0.02581003428714026,1.917707695151177,100.0,4,296,150,298,151,1.0
67,0.5877560855631877,0.5966196978993713,0.024258977892836823,1.9221521395956214,100.0,9,293,147,302,146,3.0
68,0.5816483315959501,0.5966196978993713,0.03563686356991513,1.890997584020835,100.0,4,305,146,298,142,5.0
69,0.5871754127090877,0.5966196978993713,0.028595987498293812,1.9363242368202478,100.0,4,287,151,300,145,13.0
70,0.5860804573662186,0.5966196978993713,0.025656280108884173,1.9999299173733993,100.0,11,264,150,292,147,36.0
71,0.5854250379587078,0.5966196978993713,0.026382801481065934,2.073263250706732,100.0,9,224,148,298,149,72.0
72,0.5873615921860394,0.5966196978993713,0.024009201255056935,2.161607445155985,98.66666666666667,7,186,149,293,152,113.0
73,0.5848705187680019,0.5966196978993713,0.029410282247661675,2.218001764602833,99.33333333333333,10,162,146,298,146,138.0
74,0.5878990659789375,0.5966196978993713,0.02027749650685971,2.2277294173830144,99.33333333333333,6,152,154,297,151,140.0
75,0.5910411585276824,0.5966196978993713,0.017034107513267553,2.244123736829863,99.33333333333333,5,151,150,296,149,149.0
76,0.5822153161031256,0.5966196978993713,0.03269700685822639,2.2216074451559846,98.66666666666667,9,152,152,298,144,145.0
77,0.5879301553881203,0.5966196978993713,0.02518918207862029,2.2455071951607923,99.33333333333333,9,151,148,295,149,148.0
78,0.5879834491324448,0.5966196978993713,0.026023822662752785,2.2291128757139442,98.66666666666667,5,154,149,300,145,147.0
79,0.5875019628389014,0.5966196978993713,0.02335141071285088,2.2446684312695,99.33333333333333,8,154,149,293,147,149.0
80,0.5852796513052131,0.5966196978993713,0.02616519319067369,2.242446209047277,98.0,13,147,147,294,151,148.0
81,0.5882052058299523,0.5966196978993713,0.02236901951750237,2.2349407784893183,100.0,8,150,148,299,149,146.0
82,0.5885984202643422,0.5966196978993713,0.02024265285373279,2.2282741118226514,99.33333333333333,2,154,148,300,151,145.0
83,0.5908249816624068,0.5966196978993713,0.01985076537015556,2.2485681812743072,100.0,5,152,152,293,151,147.0
84,0.5858090902090858,0.5966196978993713,0.027507154720527484,2.245507195160793,99.33333333333333,11,144,152,294,150,149.0
85,0.5880505855605116,0.5966196978993713,0.021857019995274396,2.2260518896004293,98.66666666666667,2,151,152,298,151,146.0
86,0.5893912943966594,0.5966196978993713,0.023169384518533034,2.238001764602833,99.33333333333333,3,151,152,299,148,147.0
87,0.5910006674292352,0.5966196978993713,0.016867439063939015,2.2516291673878226,99.33333333333333,5,149,153,292,152,149.0
88,0.5863993132133115,0.5966196978993713,0.027761214612445254,2.235779542380611,98.0,9,152,145,299,148,147.0
89,0.5834418349502031,0.5966196978993713,0.030052580801776987,2.225213125709136,98.66666666666667,11,154,150,296,145,144.0
90,0.5849333328917856,0.5966196978993713,0.028218929497170947,2.225757820148773,96.66666666666667,10,146,148,302,148,146.0
91,0.5885370403028954,0.5966196978993713,0.023409285214682767,2.244123736829863,100.0,10,153,143,298,150,146.0
92,0.5866179609906411,0.5966196978993713,0.027113048198014345,2.2349407784893183,98.66666666666667,5,154,151,296,147,147.0
93,0.5861313932612338,0.5966196978993713,0.025571338812690223,2.2385464590424697,100.0,9,157,146,294,148,146.0
94,0.5892574271988084,0.5966196978993713,0.022849562762939025,2.2468906534917217,100.0,7,153,148,297,148,147.0
95,0.5832403723960564,0.5993206627855141,0.032385470141629215,2.2229909034869144,99.33333333333333,7,155,143,300,145,150.0
96,0.5869071963457869,0.5993206627855141,0.027003348825913456,2.238001764602833,100.0,8,152,148,299,144,149.0
97,0.5861016761090523,0.5993206627855141,0.024868582073125856,2.2296575701535803,98.66666666666667,9,152,150,297,150,142.0
98,0.5879767282799345,0.5993206627855141,0.022877180625145224,2.2349407784893183,100.0,5,152,151,297,149,146.0
99,0.5879454594997079,0.5993206627855141,0.02558736042850766,2.2343960840496813,98.66666666666667,7,151,149,297,150,146.0
100,0.5864632626493499,0.5993206627855141,0.027554600122363607,2.231879792375803,98.66666666666667,9,153,149,295,149,145.0
101,0.5891125486577882,0.5993206627855141,0.024828195713632997,2.2274353479313587,98.0,6,153,148,297,149,147.0
102,0.5921304640049159,0.5993206627855141,0.0240215087304426,2.2388405284941255,100.0,5,156,146,298,146,149.0
103,0.5909284591551688,0.5993206627855141,0.023527501668677463,2.229951639605237,99.33333333333333,3,153,149,298,150,147.0
104,0.5885915514396626,0.5993206627855141,0.02772367213566324,2.2424462090472774,99.33333333333333,10,153,151,293,144,149.0
105,0.588290868975442,0.5993206627855141,0.027611959468414795,2.236324236820248,99.33333333333333,9,150,147,297,148,149.0
106,0.5884258045262636,0.5993206627855141,0.026026496652184865,2.2335573201583885,99.33333333333333,4,154,151,295,149,147.0
107,0.5909736756720027,0.5993206627855141,0.023157635358510863,2.235779542380611,98.66666666666667,7,152,149,299,147,146.0
108,0.589917151766088,0.5993206627855141,0.026797574625261028,2.2282741118226514,97.33333333333333,2,152,150,299,148,149.0
109,0.591138422098412,0.5993206627855141,0.023689945937230488,2.2341020145980255,98.66666666666667,6,153,146,299,149,147.0
110,0.5889586578146517,0.5993206627855141,0.028855323232263082,2.2268906534917217,97.33333333333333,4,149,152,299,147,149.0
111,0.5884151987355037,0.5993206627855141,0.026600155168963618,2.237457070163196,98.66666666666667,8,153,150,295,147,147.0
112,0.5888104050815427,0.5993206627855141,0.029384162254065465,2.2274353479313587,100.0,6,153,144,303,146,148.0
113,0.5891378367791734,0.5993206627855141,0.02808208455466263,2.2255071951607928,98.0,3,151,153,297,148,148.0
114,0.5903057533773748,0.5993206627855141,0.023331311501612863,2.229657570153581,99.33333333333333,5,150,153,298,149,145.0
